catami,aphia_id
[BIOTA] > Biota,
[BIOTA] > No visible biota,
[BIOTA] > Biota > Ascidians,1839
[BIOTA] > Biota > Ascidians > Stalked,1839
[BIOTA] > Biota > Ascidians > Stalked > Colonial,1839
[BIOTA] > Biota > Ascidians > Stalked > Solitary,1839
[BIOTA] > Biota > Ascidians > Unstalked,1839
[BIOTA] > Biota > Ascidians > Unstalked > Colonial,1839
[BIOTA] > Biota > Ascidians > Unstalked > Solitary,1839
[BIOTA] > Biota > Bacterial mats,
[BIOTA] > Biota > Bacterial mats > Cyanobacteria,146537
[BIOTA] > Biota > Bioturbation,
[BIOTA] > Biota > Bioturbation > Crawling traces,
[BIOTA] > Biota > Bioturbation > Crawling traces > Thin trail,
[BIOTA] > Biota > Bioturbation > Dwelling traces,
[BIOTA] > Biota > Bioturbation > Dwelling traces > Crater cone,
[BIOTA] > Biota > Bioturbation > Dwelling traces > Elongate depression,
[BIOTA] > Biota > Bioturbation > Dwelling traces > Single burrow,
[BIOTA] > Biota > Bioturbation > Dwelling traces > Small mound,
[BIOTA] > Biota > Bioturbation > Dwelling traces > Vertical burrow,
[BIOTA] > Biota > Bioturbation > Feeding traces,
[BIOTA] > Biota > Bioturbation > Organism tests,
[BIOTA] > Biota > Bioturbation > Organism tests > Lumpy xenophyophore,
[BIOTA] > Biota > Bioturbation > Waste casts > Spirals,
[BIOTA] > Biota > Bioturbation > Waste casts > Switchbacks,
[BIOTA] > Biota > Brachiopods,1803
[BIOTA] > Biota > Bryozoa,146142
[BIOTA] > Biota > Bryozoa > Hard,146142
[BIOTA] > Biota > Bryozoa > Hard > Branching,146142
[BIOTA] > Biota > Bryozoa > Hard > Encrusting,146142
[BIOTA] > Biota > Bryozoa > Hard > Fenestrate,146142
[BIOTA] > Biota > Bryozoa > Hard > Massive,146142
[BIOTA] > Biota > Bryozoa > Soft,146142
[BIOTA] > Biota > Bryozoa > Soft > Dendroid,146142
[BIOTA] > Biota > Bryozoa > Soft > Foliaceous,146142
[BIOTA] > Biota > Cnidaria,1267
[BIOTA] > Biota > Cnidaria > Colonial anemones,1360
[BIOTA] > Biota > Cnidaria > Colonial anemones > Corallimorphs,1362
[BIOTA] > Biota > Cnidaria > Colonial anemones > Zoanthids,607338
[BIOTA] > Biota > Cnidaria > Corals,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Blue coral (Heliopora),206210
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D),1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Fleshy,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Fleshy > Arborescent,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Fleshy > Mushroom,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Arborescent,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bottle-brush,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bottle-brush > Complex,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bottle-brush > Simple,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Branching (3D) > Non-fleshy > Bushy,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Encrusting,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Encrusting > Lobate,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Encrusting > Ridged / Folded,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D),1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D) > Fern-frond,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D) > Fern-frond > Complex,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D) > Fern-frond > Simple,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Fan (2D) > Rigid,1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Massive soft corals,125269
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Organ pipe coral (Tubipora),1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Quill (seapen),1292
[BIOTA] > Biota > Cnidaria > Corals > Black & Octocorals > Whip,1292
[BIOTA] > Biota > Cnidaria > Corals > Stony corals,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Bottlebrush,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Branching,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Columnar,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Corymbose,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Digitate,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Encrusting,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Foliose / plate,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Massive,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Solitary,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Solitary > Attached,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Solitary > Free-living,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Solitary > Mushroom (Fungiidae),196100
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Staghorn,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Sub-massive,1363
[BIOTA] > Biota > Cnidaria > Corals > Stony corals > Tabulate,1363
[BIOTA] > Biota > Cnidaria > Hydrocorals,1337
[BIOTA] > Biota > Cnidaria > Hydrocorals > Submassive / encrusting,1337
[BIOTA] > Biota > Cnidaria > Hydroids,1337
[BIOTA] > Biota > Cnidaria > Hydroids > 2D,1337
[BIOTA] > Biota > Cnidaria > Hydroids > Bushy,1337
[BIOTA] > Biota > Cnidaria > Hydroids > Complex,1337
[BIOTA] > Biota > Cnidaria > Hydroids > Feathered,1337
[BIOTA] > Biota > Cnidaria > Hydroids > Mossy,1337
[BIOTA] > Biota > Cnidaria > True anemones,1360
[BIOTA] > Biota > Cnidaria > True anemones > Flytrap,1360
[BIOTA] > Biota > Cnidaria > True anemones > Other anemones,1360
[BIOTA] > Biota > Cnidaria > Tube anemones,1292
[BIOTA] > Biota > Crustacea,1066
[BIOTA] > Biota > Crustacea > Barnacles,1082
[BIOTA] > Biota > Crustacea > Barnacles > Acorn,1082
[BIOTA] > Biota > Crustacea > Barnacles > Stalked,1082
[BIOTA] > Biota > Crustacea > Crabs,106670
[BIOTA] > Biota > Crustacea > Crabs > King crabs,106737
[BIOTA] > Biota > Crustacea > Crabs > True crabs,106673
[BIOTA] > Biota > Crustacea > Hermit crabs,106687
[BIOTA] > Biota > Crustacea > Hermit crabs > With anemones,106687
[BIOTA] > Biota > Crustacea > Hermit crabs > With shell or stone home,106687
[BIOTA] > Biota > Crustacea > Lobsters,106670
[BIOTA] > Biota > Crustacea > Lobsters > Rock lobsters,106794
[BIOTA] > Biota > Crustacea > Lobsters > Squat lobsters,106671
[BIOTA] > Biota > Crustacea > Lobsters > True lobsters,106741
[BIOTA] > Biota > Crustacea > Prawns / shrimps / mysids,1066
[BIOTA] > Biota > Crustacea > Prawns / shrimps / mysids > Mysids,149668
[BIOTA] > Biota > Crustacea > Prawns / shrimps / mysids > Prawns,106669
[BIOTA] > Biota > Crustacea > Prawns / shrimps / mysids > Shrimps,106674
[BIOTA] > Biota > Echinoderms,1806
[BIOTA] > Biota > Echinoderms > Feather stars,123081
[BIOTA] > Biota > Echinoderms > Feather stars > Stalked crinoids,123081
[BIOTA] > Biota > Echinoderms > Feather stars > Unstalked crinoids,123081
[BIOTA] > Biota > Echinoderms > Ophiuroids,123084
[BIOTA] > Biota > Echinoderms > Ophiuroids > Basket stars,242196
[BIOTA] > Biota > Echinoderms > Ophiuroids > Brittle / snake stars,123117
[BIOTA] > Biota > Echinoderms > Sea cucumbers,123083
[BIOTA] > Biota > Echinoderms > Sea cucumbers > Benthic,123083
[BIOTA] > Biota > Echinoderms > Sea cucumbers > Pelagic / swimming,123083
[BIOTA] > Biota > Echinoderms > Sea stars,123080
[BIOTA] > Biota > Echinoderms > Sea urchins,123082
[BIOTA] > Biota > Echinoderms > Sea urchins > Irregular urchins,123082
[BIOTA] > Biota > Echinoderms > Sea urchins > Regular urchins,123082
[BIOTA] > Biota > Fishes,146419
[BIOTA] > Biota > Fishes > Bony fishes,152352
[BIOTA] > Biota > Fishes > Eels,10295
[BIOTA] > Biota > Fishes > Elasmobranchs > Rays & skates,10193
[BIOTA] > Biota > Fishes > Elasmobranchs > Sharks,10193
[BIOTA] > Biota > Jellies,2
[BIOTA] > Biota > Jellies > Ctenophores,1248
[BIOTA] > Biota > Jellies > Hydromedusae,1337
[BIOTA] > Biota > Jellies > Salps,137217
[BIOTA] > Biota > Jellies > Siphonophores,1371
[BIOTA] > Biota > Macroalgae,
